date,time,avg_temp,max_temp,min_temp,weather,wind_speed,humidity
2024-10-07,00:00:00,13.5,13.5,9.85,Clouds,2.07,69
2024-10-07,03:00:00,10.94,10.94,8.75,Rain,2.24,86
2024-10-07,06:00:00,8.34,8.34,8.34,Rain,1.64,99
2024-10-07,09:00:00,8.98,8.98,8.98,Rain,1.78,99
2024-10-07,12:00:00,9.67,9.67,9.67,Clouds,1.74,99
2024-10-07,15:00:00,12.76,12.76,12.76,Clouds,1.73,89
2024-10-07,18:00:00,15.15,15.15,15.15,Rain,3.53,67
2024-10-07,21:00:00,12.18,12.18,12.18,Rain,2.0,73
2024-10-08,00:00:00,7.56,7.56,7.56,Clouds,1.58,92
2024-10-08,03:00:00,7.61,7.61,7.61,Clouds,2.27,91
2024-10-08,06:00:00,4.62,4.62,4.62,Clouds,1.55,97
2024-10-08,09:00:00,3.3,3.3,3.3,Clouds,1.43,96
2024-10-08,12:00:00,4.45,4.45,4.45,Clouds,0.85,91
2024-10-08,15:00:00,10.86,10.86,10.86,Clear,1.88,54
2024-10-08,18:00:00,11.53,11.53,11.53,Rain,5.03,60
2024-10-08,21:00:00,9.79,9.79,9.79,Rain,3.77,74
2024-10-09,00:00:00,5.34,5.34,5.34,Rain,2.84,91
2024-10-09,03:00:00,2.24,2.24,2.24,Clear,1.44,92
2024-10-09,06:00:00,1.46,1.46,1.46,Clear,1.14,90
2024-10-09,09:00:00,1.32,1.32,1.32,Clouds,1.41,93
2024-10-09,12:00:00,2.77,2.77,2.77,Clouds,1.34,92
2024-10-09,15:00:00,9.05,9.05,9.05,Clouds,3.01,58
2024-10-09,18:00:00,9.38,9.38,9.38,Clouds,3.67,67
2024-10-09,21:00:00,8.25,8.25,8.25,Clouds,1.98,76
2024-10-10,00:00:00,4.22,4.22,4.22,Clouds,1.09,94
2024-10-10,03:00:00,4.52,4.52,4.52,Rain,1.03,95
2024-10-10,06:00:00,3.16,3.16,3.16,Clouds,1.56,98
2024-10-10,09:00:00,4.79,4.79,4.79,Rain,1.69,97
2024-10-10,12:00:00,3.88,3.88,3.88,Rain,2.25,92
2024-10-10,15:00:00,4.75,4.75,4.75,Rain,2.83,88
2024-10-10,18:00:00,5.07,5.07,5.07,Clouds,4.11,75
2024-10-10,21:00:00,4.78,4.78,4.78,Clouds,2.24,79
2024-10-11,00:00:00,4.97,4.97,4.97,Clouds,2.43,87
2024-10-11,03:00:00,3.98,3.98,3.98,Clouds,1.98,89
2024-10-11,06:00:00,5.26,5.26,5.26,Clouds,3.72,82
2024-10-11,09:00:00,5.07,5.07,5.07,Clouds,2.95,81
2024-10-11,12:00:00,3.84,3.84,3.84,Clouds,1.49,89
2024-10-11,15:00:00,9.41,9.41,9.41,Clouds,4.72,62
2024-10-11,18:00:00,11.96,11.96,11.96,Clouds,4.34,51
2024-10-11,21:00:00,11.5,11.5,11.5,Clear,2.45,58
